"","city","state","long","lat","value"
"309","Bonners Ferry","ID",-116.32,48.69,1
"310","Bonney Lake","WA",-122.16,47.17,4
"311","Boone","NC",-81.66,36.2,1
"312","Boonton","NJ",-74.4,40.91,1
"313","Bordentown","NJ",-74.72,40.13,1
"314","Bossier City","LA",-93.7075,32.55,4
"315","Boston","MA",-71.0671666666667,42.3525,60
"316","Bothell","WA",-122.2075,47.79,12
"317","Boulder","CO",-105.256,40.0153333333333,15
"318","Boulder City","NV",-114.85,35.97,1
"319","Bountiful","UT",-111.89,40.88,2
"320","Bourbonnais","IL",-87.8633333333333,41.1666666666667,3
"321","Bourne","MA",-70.59,41.75,1
"322","Bowie","MD",-76.75,38.9575,8
"323","Bowling Green","KY",-86.444,36.98,5
"324","Bowling Green","OH",-83.6366666666667,41.38,3
"325","Bowmansville","PA",-76.02,40.2,1
"326","Boyne City","MI",-85.02,45.22,1
"327","Boynton Beach","FL",-80.104,26.542,5
"328","Bozeman","MT",-111.062,45.69,5
"329","Bradenton","FL",-82.53625,27.45875,8
"330","Braintree","MA",-71.0225,42.22,4
"331","Branchburg","NJ",-74.69,40.61,1
"332","Brandon","FL",-82.3171428571429,27.9328571428571,7
"333","Brandywine","MD",-76.88,38.67,2
"334","Branford","CT",-72.795,41.29,2
"335","Branson","MO",-93.2366666666667,36.65,3
"336","Brawley","CA",-115.55,32.97,2
"337","Brea","CA",-117.882222222222,33.9155555555556,9
"338","Breckenridge","CO",-106.05,39.48,1
"339","Brecksville","OH",-81.63,41.32,1
"340","Breezewood","PA",-78.24,40,1
"341","Bremerton","WA",-122.638571428571,47.5942857142857,7
"342","Brenham","TX",-96.39,30.14,1
"343","Brentwood","CA",-120.91,36.96,4
"344","Brentwood","MO",-90.345,38.625,2
"345","Brentwood","TN",-86.765,36.0275,4
"346","Brevard","NC",-82.73,35.24,1
"347","Briarcliff Manor","NY",-73.83,41.15,1
"348","Brick","NJ",-74.15,40.06,1
"349","Bridgehampton","NY",-72.3,40.94,1
"350","Bridgeport","CT",-73.18,41.18,1
"351","Bridgeton","MO",-90.43,38.75,1
"352","Bridgeville","PA",-80.105,40.365,2
"353","Bridgewater","NJ",-74.6025,40.58,4
"354","Brigham City","UT",-112.02,41.51,1
"355","Brighton","CO",-104.812,39.976,5
"356","Brighton","MA",-71.1533333333333,42.35,3
"357","Brighton","MI",-83.7933333333333,42.54,3
"358","Brighton","NY",-77.56,43.13,1
"359","Bristol","CT",-72.92,41.69,1
"360","Bristol","VA",-82.11,36.635,2
"361","Bristow","VA",-77.56,38.74,2
"362","Broadlands","VA",-77.51,39.03,1
"363","Broadview","IL",-87.85,41.85,2
"364","Broadview Heights","OH",-81.67,41.2966666666667,3
"365","Brockton","MA",-71.06,42.075,2
"366","Broken Arrow","OK",-95.7933333333333,36.0666666666667,3
"367","Bronx","NY",-73.8846153846154,40.8530769230769,13
"368","Bronxville","NY",-73.83,40.94,1
"369","Brookfield","NY",-73.62,40.81,1
"370","Brookfield","WI",-88.1114285714286,43.0342857142857,7
"371","Brookhaven","PA",-75.4,39.88,1
"372","Brookings","OR",-124.29,42.05,1
"373","Brookings","SD",-96.77,44.3,1
"374","Brookline","MA",-71.124,42.342,5
"375","Brooklyn","NY",-73.9743243243243,40.6594594594595,37
"376","Brooklyn","OH",-81.73,41.43,1
"377","Brooklyn Center","MN",-93.32,45.06,1
"378","Brooklyn Park","MN",-93.3675,45.12,4
"379","Brooksville","FL",-82.51,28.53,1
"380","Broomall","PA",-75.35,39.97,2
"381","Broomfield","CO",-105.07375,39.9425,8
"382","Broussard","LA",-91.95,30.15,1
"383","Brownsburg","IN",-86.39,39.86,1
"384","Brownstown","MI",-84.38,44.27,1
"385","Brownsville","TX",-97.5066666666667,25.9633333333333,3
"386","Brownwood","TX",-98.98,31.73,1
"387","Brunswick","GA",-81.515,31.19,4
"388","Brunswick","ME",-69.92,43.91,1
"389","Brunswick","OH",-81.81,41.24,1
"390","Bryan","TX",-96.34,30.6566666666667,3
"391","Bryant","AR",-92.53,34.6,1
"392","Bryn Mawr","PA",-75.32,40.02,1
"393","Buckeye","AZ",-112.56,33.43,1
"394","Buckhead","GA",-84.36,33.82,1
"395","Buda","TX",-97.82,30.09,1
"396","Buellton","CA",-120.19,34.61,1
"397","Buena Park","CA",-118.011428571429,33.85,7
"398","Buffalo","MN",-93.86,45.17,1
"399","Buffalo","NY",-78.852,42.916,5
"400","Buffalo Grove","IL",-87.975,42.16,2
"401","Buford","GA",-83.98,34.07,3
"402","Buies Creek","NC",-78.74,35.41,1
"403","Bullhead City","AZ",-114.59,35.085,2
"404","Bulverde","TX",-98.42,29.8,1
"405","Burbank","CA",-118.33,34.1694736842105,19
"406","Burbank","IL",-87.77,41.75,2
"407","Burien","WA",-122.338,47.472,5
"408","Burke","VA",-77.305,38.7925,4
"409","Burleson","TX",-97.3325,32.535,4
"410","Burlingame","CA",-122.366,37.59,5
"411","Burlington","IA",-91.14,40.82,1
"412","Burlington","KY",-84.69,39.02,1
"413","Burlington","MA",-71.2125,42.485,4
"414","Burlington","NC",-79.5025,36.075,4
"415","Burlington","NJ",-74.82,40.04,1
"416","Burlington","VT",-73.21,44.48,2
"417","Burlington","WA",-122.3375,48.475,4
"418","Burnsville","MN",-93.2933333333333,44.7466666666667,3
"419","Burnsville","NC",-82.29,35.91,1
"420","Burnwell","WV",-81.38,38.1,1
"421","Burr Ridge","IL",-87.91,41.75,1
"422","Burtonsville","MD",-76.93,39.11,1
"423","Butler","PA",-79.95,40.88,1
"424","Butte","MT",-112.51,45.98,1
"425","Buttonwillow","CA",-119.4,35.4,1
"426","Byron","CA",-121.62,37.89,1
"427","Byron Center","MI",-85.67,42.81,1
"428","Cabazon","CA",-116.81,33.9266666666667,3
"429","Calabasas","CA",-118.68,34.1466666666667,3
"430","Caledonia","MI",-85.5833333333333,42.83,3
"431","Calexico","CA",-115.5,32.68,1
"432","Calhoun","GA",-84.93,34.47,1
"433","California","MD",-76.52,38.3,1
"434","Calimesa","CA",-117.06,34,1
