city,state,long,lat,value
Bloomingdale,IL,-88.095,41.95,2
Bloomington,IL,-88.9566666666667,40.48,3
Bloomington,IN,-86.52,39.1628571428571,7
Bloomington,MN,-93.2671428571429,44.8528571428571,7
Bloomsburg,PA,-76.45,41.01,2
Blue Ash,OH,-84.3866666666667,39.2433333333333,3
Blue Jay,CA,-117.21,34.25,1
Blue Ridge,GA,-84.34,34.84,1
Blue Springs,MO,-94.26,39.025,2
Bluffton,SC,-80.845,32.255,4
Blythe,CA,-114.595,33.61,2
Boardman,OH,-80.68,41.02,1
Boca Raton,FL,-80.1292857142857,26.3742857142857,14
Boerne,TX,-98.74,29.78,1
Bohemia,NY,-73.1,40.78,1
Boise,ID,-116.256086956522,43.6047826086957,23
Bolingbrook,IL,-88.086,41.7,5
Bolling Afb,DC,-77.02,38.84,1
Bonaire,GA,-83.59,32.54,1
Bonita,CA,-117.025,32.665,2
Bonita Springs,FL,-81.81,26.34,1
Bonners Ferry,ID,-116.32,48.69,1
Bonney Lake,WA,-122.16,47.17,4
Boone,NC,-81.66,36.2,1
Boonton,NJ,-74.4,40.91,1
Bordentown,NJ,-74.72,40.13,1
Bossier City,LA,-93.7075,32.55,4
Boston,MA,-71.0671666666667,42.3525,60
Bothell,WA,-122.2075,47.79,12
Boulder,CO,-105.256,40.0153333333333,15
Boulder City,NV,-114.85,35.97,1
Bountiful,UT,-111.89,40.88,2
Bourbonnais,IL,-87.8633333333333,41.1666666666667,3
Bourne,MA,-70.59,41.75,1
Bowie,MD,-76.75,38.9575,8
Bowling Green,KY,-86.444,36.98,5
Bowling Green,OH,-83.6366666666667,41.38,3
Bowmansville,PA,-76.02,40.2,1
Boyne City,MI,-85.02,45.22,1
Boynton Beach,FL,-80.104,26.542,5
Bozeman,MT,-111.062,45.69,5
Bradenton,FL,-82.53625,27.45875,8
Braintree,MA,-71.0225,42.22,4
Branchburg,NJ,-74.69,40.61,1
Brandon,FL,-82.3171428571429,27.9328571428571,7
Brandywine,MD,-76.88,38.67,2
Branford,CT,-72.795,41.29,2
Branson,MO,-93.2366666666667,36.65,3
Brawley,CA,-115.55,32.97,2
Brea,CA,-117.882222222222,33.9155555555556,9
Breckenridge,CO,-106.05,39.48,1
Brecksville,OH,-81.63,41.32,1
Breezewood,PA,-78.24,40,1
Bremerton,WA,-122.638571428571,47.5942857142857,7
Brenham,TX,-96.39,30.14,1
Brentwood,CA,-120.91,36.96,4
Brentwood,MO,-90.345,38.625,2
Brentwood,TN,-86.765,36.0275,4
Brevard,NC,-82.73,35.24,1
Briarcliff Manor,NY,-73.83,41.15,1
Brick,NJ,-74.15,40.06,1
Bridgehampton,NY,-72.3,40.94,1
Bridgeport,CT,-73.18,41.18,1
Bridgeton,MO,-90.43,38.75,1
Bridgeville,PA,-80.105,40.365,2
Bridgewater,NJ,-74.6025,40.58,4
Brigham City,UT,-112.02,41.51,1
Brighton,CO,-104.812,39.976,5
Brighton,MA,-71.1533333333333,42.35,3
Brighton,MI,-83.7933333333333,42.54,3
Brighton,NY,-77.56,43.13,1
Bristol,CT,-72.92,41.69,1
Bristol,VA,-82.11,36.635,2
Bristow,VA,-77.56,38.74,2
Broadlands,VA,-77.51,39.03,1
Broadview,IL,-87.85,41.85,2
Broadview Heights,OH,-81.67,41.2966666666667,3
Brockton,MA,-71.06,42.075,2
Broken Arrow,OK,-95.7933333333333,36.0666666666667,3
Bronx,NY,-73.8846153846154,40.8530769230769,13
Bronxville,NY,-73.83,40.94,1
Brookfield,NY,-73.62,40.81,1
Brookfield,WI,-88.1114285714286,43.0342857142857,7
Brookhaven,PA,-75.4,39.88,1
Brookings,OR,-124.29,42.05,1
Brookings,SD,-96.77,44.3,1
Brookline,MA,-71.124,42.342,5
Brooklyn,NY,-73.9743243243243,40.6594594594595,37
Brooklyn,OH,-81.73,41.43,1
Brooklyn Center,MN,-93.32,45.06,1
Brooklyn Park,MN,-93.3675,45.12,4
Brooksville,FL,-82.51,28.53,1
Broomall,PA,-75.35,39.97,2
Broomfield,CO,-105.07375,39.9425,8
Broussard,LA,-91.95,30.15,1
Brownsburg,IN,-86.39,39.86,1
Brownstown,MI,-84.38,44.27,1
Brownsville,TX,-97.5066666666667,25.9633333333333,3
Brownwood,TX,-98.98,31.73,1
Brunswick,GA,-81.515,31.19,4
Brunswick,ME,-69.92,43.91,1
Brunswick,OH,-81.81,41.24,1
Bryan,TX,-96.34,30.6566666666667,3
Bryant,AR,-92.53,34.6,1
Bryn Mawr,PA,-75.32,40.02,1
Buckeye,AZ,-112.56,33.43,1
Buckhead,GA,-84.36,33.82,1
Buda,TX,-97.82,30.09,1
Buellton,CA,-120.19,34.61,1
Buena Park,CA,-118.011428571429,33.85,7
Buffalo,MN,-93.86,45.17,1
Buffalo,NY,-78.852,42.916,5
Buffalo Grove,IL,-87.975,42.16,2
Buford,GA,-83.98,34.07,3
Buies Creek,NC,-78.74,35.41,1
